Symbol,Series,Name,Band,Remarks
AGARWALTUF,ST,Agarwal Toughened Glass India Limited,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,ST,Abhishek Integrations Limited,5,"-"
AISL,SM,ANI Integrated Services Limited,5,"-"
AKANKSHA,ST,Akanksha Power and Infrastructure Limited,5,"-"
ALUWIND,ST,ALUWIND INFRA-TECH LIMITED,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMEYA,SM,Ameya Precision Engineers Limited,5,"-"
AMJUMBO,SM,A and M Jumbo Bags Limited,5,"-"
APRAMEYA,ST,Aprameya Engineering Limited,5,"-"
APS,ST,Australian Premium Solar (India) Limited,5,"-"
ARISTO,ST,Aristo Bio-Tech And Lifescience Limited,5,"-"
ARVINDPORT,ST,ARVIND PORT AND INFRA LIMITED,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASPIRE,ST,Aspire & Innovative Advertising Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BALAJIPHOS,ST,Balaji Phosphates Limited,5,"-"
BALCO,SM,Solve Plastic Products Limited,5,"-"
BARFLEX,ST,Barflex Polyfilms Limited,5,"-"
BDR,IT,BDR Buildcon Limited,5,"-"
BEWLTD,ST,BEW Engineering Limited,5,"-"
BIKEWO,ST,BIKEWO GREEN TECH LIMITED,5,"-"
BIRDYS,SM,Grill Splendour Services Limited,5,"-"
BOSS,SM,Boss Packaging Solutions Limited,5,"-"
CADSYS,SM,Cadsys (India) Limited,5,"-"
CELLECOR,ST,Cellecor Gadgets Limited,5,"-"
CHAMUNDA,ST,Chamunda Electrical Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
COMMITTED,ST,Committed Cargo Care Limited,5,"-"
CONTI,SM,Continental Seeds and Chemicals Limited,5,"-"
CPS,ST,C P S Shapers Limited,5,"-"
DCG,SM,DCG Cables & Wires Limited,5,"-"
DELTIC,ST,Delta Autocorp Limited,5,"-"
DHARIWAL,ST,Dhariwalcorp Limited,5,"-"
DHTL,ST,Docmode Health Technologies Limited,5,"-"
DIVYADHAN,ST,DIVYADHAN RECYCLING INDUSTRIES LIMITED,5,"-"
DRONE,ST,Drone Destination Limited,5,"-"
DRSCARGO,ST,DRS Cargo Movers Limited,5,"-"
DRSDILIP,SM,DRS Dilip Roadlines Limited,5,"-"
DYNAMIC,ST,Dynamic Services & Security Limited,5,"-"
EEPL,ST,Eppeltone Engineers Limited,5,"-"
EFACTOR,ST,E Factor Experiences Limited,5,"-"
EFFWA,ST,Effwa Infra & Research Limited,5,"-"
EMKAYTOOLS,ST,Emkay Taps and Cutting Tools Limited,5,"-"
EMMIL,SM,Energy Mission Machineries (India) Limited,5,"-"
ESFL,SM,Essen Speciality Films Limited,5,"-"
FELIX,ST,Felix Industries Limited,5,"-"
FIDEL,ST,Fidel Softech Limited,5,"-"
FOCE,SM,Foce India Limited,5,"-"
FORCAS,ST,Forcas Studio Limited,5,"-"
FROG,ST,Frog Cellsat Limited,5,"-"
GANESHIN,ST,Ganesh Infraworld Limited,5,"-"
GCHOTELS,ST,Grand Continent Hotels Limited,5,"-"
GGBL,ST,Ganesh Green Bharat Limited,5,"-"
GIRIRAJ,ST,Giriraj Civil Developers Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GOLDSTAR,ST,Goldstar Power Limited,5,"-"
GRAPHISAD,SM,Graphisads Limited,5,"-"
GRCL,SM,Gayatri Rubbers And Chemicals Limited,5,"-"
GRETEX,SM,Gretex Industries Limited,5,"-"
GSMFOILS,ST,GSM Foils Limited,5,"-"
HOACFOODS,ST,Hoac Foods India Limited,5,"-"
HOLMARC,SM,Holmarc Opto-Mechatronics Limited,5,"-"
HOMESFY,SM,Homesfy Realty Limited,5,"-"
HVAX,ST,HVAX Technologies Limited,5,"-"
IBLFL,SM,IBL Finance Limited,5,"-"
INFLUX,ST,INFLUX HEALTHTECH LIMITED,5,"-"
INM,ST,Interiors & More Limited,5,"-"
ISHAN,ST,Ishan International Limited,5,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,5,"-"
JAINIK,ST,Jainik Power Cables Limited,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,ST,Jalan Transolutions (India) Limited,5,"-"
JETKNIT,ST,Jet Knitwears Limited,5,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,5,"-"
K2INFRA,ST,K2 Infragen Limited,5,"-"
KANDARP,ST,Kandarp Digi Smart Bpo Limited,5,"-"
KARNIKA,ST,Karnika Industries Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KONSTELEC,ST,Konstelec Engineers Limited,5,"-"
KONTOR,ST,Kontor Space Limited,5,"-"
KORE,ST,Jay Jalaram Technologies Limited,5,"-"
LAMOSAIC,ST,Lamosaic India Limited,5,"-"
LEMERITE,ST,Le Merite Exports Limited,5,"-"
LLOYDS,ST,Lloyds Luxuries Limited,5,"-"
MADHAVBAUG,ST,Vaidya Sane Ayurved Laboratories Limited,5,"-"
MANAV,ST,Manav Infra Projects Limited,5,"-"
MANDEEP,ST,Mandeep Auto Industries Limited,5,"-"
MARINETRAN,SM,Marinetrans India Limited,5,"-"
MASTER,ST,Master Components Limited,5,"-"
MAXVOLT,ST,Maxvolt Energy Industries Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MEGAFLEX,SM,Mega Flex Plastics Limited,5,"-"
MHHL,SM,Mohini Health & Hygiene Limited,5,"-"
MIEL,ST,Manglam Infra & Engineering Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,SM,Mindpool Technologies Limited,5,"-"
MONOLITH,ST,Monolithisch India Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
NEELAM,ST,Neelam Linens and Garments (India) Limited,5,"-"
NEWJAISA,ST,Newjaisa Technologies Limited,5,"-"
NIRMAN,ST,Nirman Agri Genetics Limited,5,"-"
OBSCP,ST,OBSC Perfection Limited,5,"-"
OLIL,ST,Oneclick Logistics India Limited,5,"-"
ONYX,SM,Onyx Biotec Limited,5,"-"
ORIANA,ST,Oriana Power Limited,5,"-"
PARIN,SM,Parin Enterprises Limited,5,"-"
PASHUPATI,SM,Pashupati Cotspin Limited,5,"-"
PATILAUTOM,ST,Patil Automation Limited,5,"-"
PATTECH,SM,Pattech Fitwell Tube Components Limited,5,"-"
PERFECT,ST,Perfect Infraengineers Limited,5,"-"
POSITRON,ST,Positron Energy Limited,5,"-"
PRAMARA,ST,Pramara Promotions Limited,5,"-"
PRITIKA,ST,Pritika Engineering Components Limited,5,"-"
PRIZOR,ST,Prizor Viztech Limited,5,"-"
PROLIFE,ST,Prolife Industries Limited,5,"-"
PULZ,SM,Pulz Electronics Limited,5,"-"
PURVFLEXI,ST,Purv Flexipack Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QUADPRO,ST,QUADPRO ITES LIMITED,5,"-"
REFRACTORY,ST,Refractory Shapes Limited,5,"-"
RICHA,ST,Richa Info Systems Limited,5,"-"
RILINFRA,ST,Rachana Infrastructure Limited,5,"-"
RITEZONE,ST,Rite Zone Chemcon India Limited,5,"-"
ROYALARC,ST,Royal Arc Electrodes Limited,5,"-"
RULKA,ST,Rulka Electricals Limited,5,"-"
SABAR,ST,Sabar Flex India Limited,5,"-"
SACHEEROME,ST,Sacheerome Limited,5,"-"
SAHAJSOLAR,ST,Sahaj Solar Limited,5,"-"
SAHASRA,ST,Sahasra Electronic Solutions Limited,5,"-"
SAMAY,ST,Samay Project Services Limited,5,"-"
SANGANI,SM,Sangani Hospitals Limited,5,"-"
SATECH,ST,S A Tech Software India Limited,5,"-"
SATKARTAR,ST,Sat Kartar Shopping Limited,5,"-"
SDREAMS,ST,S D Retail Limited,5,"-"
SEL,SM,Sungarner Energies Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHIVAUM,SM,Shiv Aum Steels Limited,5,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SIGNORIA,ST,Signoria Creation Limited,5,"-"
SILKFLEX,ST,Silkflex Polymers (India) Limited,5,"-"
SLONE,ST,Slone Infosystems Limited,5,"-"
SMVD,ST,SMVD Poly Pack Limited,5,"-"
SONUINFRA,ST,Sonu Infratech Limited,5,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,5,"-"
SPCL,ST,Shivalic Power Control Limited,5,"-"
SPECTSTM,SM,Spectrum Talent Management Limited,5,"-"
SPPPOLY,SM,SPP Polymer Limited,5,"-"
SPRL,SM,Sp Refractories Limited,5,"-"
SUNLITE,ST,Sunlite Recycling Industries Limited,5,"-"
SURANI,ST,Surani Steel Tubes Limited,5,"-"
SWARAJ,ST,Swaraj Suiting Limited,5,"-"
TAC,SM,TAC Infosec Limited,5,"-"
TAPIFRUIT,SM,Tapi Fruit Processing Limited,5,"-"
TECHERA,ST,TechEra Engineering (India) Limited,5,"-"
TGL,ST,Teerth Gopicon Limited,5,"-"
THESL,SM,Thinking Hats Entertainment Solutions Limited,5,"-"
TIMESCAN,SM,Timescan Logistics (India) Limited,5,"-"
TIRUPATI,ST,Shree Tirupati Balajee FIBC Limited,5,"-"
TRANSWIND,SM,Transwind Infrastructures Limited,5,"-"
TROM,ST,Trom Industries Limited,5,"-"
URBAN,ST,Urban Enviro Waste Management Limited,5,"-"
USHAFIN,ST,Usha Financial Services Limited,5,"-"
UTSSAV,ST,Utssav CZ Gold Jewels Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
VASA,SM,Vasa Retail and Overseas Ltd,5,"-"
VDEAL,ST,Vdeal System Limited,5,"-"
VEEKAYEM,SM,Veekayem Fashion And Apparels Limited,5,"-"
VELS,ST,Vels Film International Limited,5,"-"
VERA,SM,Vera Synthetic Limited,5,"-"
VERITAAS,ST,Veritaas Advertising Limited,5,"-"
VIAZ,SM,Viaz Tyres Limited,5,"-"
VILAS,ST,Vilas Transcore Limited,5,"-"
VITAL,SM,Vital Chemtech Limited,5,"-"
VIVIANA,ST,Viviana Power Tech Limited,5,"-"
VIVO,SM,Vivo Collaboration Solutions Limited,5,"-"
VMARCIND,ST,V Marc India Limited,5,"-"
VSCL,ST,Vadivarhe Speciality Chemicals Limited,5,"-"
WALPAR,SM,Walpar Nutritions Limited,5,"-"
WINSOL,ST,Winsol Engineers Limited,5,"-"
ZENITHDRUG,ST,Zenith Drugs Limited,5,"-"
COOLCAPS,SM,Cool Caps Industries Limited,10,"-"
DIGIKORE,SM,Digikore Studios Limited,10,"-"
ENFUSE,SM,Enfuse Solutions Limited,10,"-"
FRESHARA,SM,Freshara Agro Exports Limited,10,"-"
INFINIUM,SM,Infinium Pharmachem Limited,10,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,10,"-"
KCK,SM,Kck Industries Limited,10,"-"
KDL,SM,Kore Digital Limited,10,"-"
KODYTECH,SM,Kody Technolab Limited,10,"-"
MAITREYA,SM,Maitreya Medicare Limited,10,"-"
OMFURN,SM,Omfurn India Limited,10,"-"
PRANIK,SM,Pranik Logistics Limited,10,"-"
PRATHAM,SM,Pratham EPC Projects Limited,10,"-"
RNFI,SM,RNFI Services Limited,10,"-"
SAHANA,SM,Sahana System Limited,10,"-"
SHREEKARNI,SM,Shree Karni Fabcom Limited,10,"-"
SHUBHSHREE,SM,Shubhshree Biofuels Energy Limited,10,"-"
TRANSTEEL,SM,Transteel Seating Technologies Limited,10,"-"
WOMANCART,SM,Womancart Limited,10,"-"
AATMAJ,SM,Aatmaj Healthcare Limited,20,"-"
ABCOTS,SM,A B Cotspin India Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
ACCENTMIC,SM,Accent Microcell Limited,20,"-"
ACCPL,SM,Accretion Pharmaceuticals Limited,20,"-"
ACTIVEINFR,SM,Active Infrastructures Limited,20,"-"
AERON,SM,Aeron Composite Limited,20,"-"
AIMTRON,SM,Aimtron Electronics Limited,20,"-"
AKIKO,SM,Akiko Global Services Limited,20,"-"
ALLETEC,SM,All E Technologies Limited,20,"-"
ALPEXSOLAR,SM,Alpex Solar Limited,20,"-"
AMBEY,SM,Ambey Laboratories Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANLON,SM,Anlon Technology Solutions Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
ANYA,SM,Anya Polytech & Fertilizers Limited,20,"-"
APEXECO,SM,Apex Ecotech Limited,20,"-"
ARABIAN,SM,Arabian Petroleum Limited,20,"-"
ARHAM,SM,Arham Technologies Limited,20,"-"
ARIHANTACA,SM,Arihant Academy Limited,20,"-"
ARUNAYA,SM,Arunaya Organics Limited,20,"-"
ASHALOG,SM,Ashapura Logistics Limited,20,"-"
ATCENERGY,SM,ATC Energies System Limited,20,"-"
ATMASTCO,SM,Atmastco Limited,20,"-"
AURDIS,SM,Aurangabad Distillery Limited,20,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,20,"-"
AUSL,SM,Aditya Ultra Steel Limited,20,"-"
AVIANSH,SM,Avi Ansh Textile Limited,20,"-"
AVPINFRA,SM,AVP Infracon Limited,20,"-"
BABAFP,SM,Baba Food Processing (India) Limited,20,"-"
BAHETI,SM,Baheti Recycling Industries Limited,20,"-"
BAWEJA,SM,Baweja Studios Limited,20,"-"
BEACON,SM,Beacon Trusteeship Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
BLUEPEBBLE,SM,Blue Pebble Limited,20,"-"
BLUEWATER,SM,Blue Water Logistics Limited,20,"-"
BMETRICS,SM,Bombay Metrics Supply Chain Limited,20,"-"
BRACEPORT,SM,Brace Port Logistics Limited,20,"-"
BULKCORP,SM,Bulkcorp International Limited,20,"-"
CANARYS,SM,Canarys Automations Limited,20,"-"
CBAZAAR,SM,Net Avenue Technologies Limited,20,"-"
CELLPOINT,SM,Cell Point (India) Limited,20,"-"
CGRAPHICS,SM,Creative Graphics Solutions India Limited,20,"-"
CHANDAN,SM,Chandan Healthcare Limited,20,"-"
CHAVDA,SM,Chavda Infra Limited,20,"-"
CHETANA,SM,Chetana Education Limited,20,"-"
CLSL,SM,Crop Life Science Limited,20,"-"
CMNL,SM,Chaman Metallics Limited,20,"-"
DANISH,SM,Danish Power Limited,20,"-"
DCCL,SM,Dar Credit & Capital Limited,20,"-"
DECCANTRAN,SM,Deccan Transcon Leasing Limited,20,"-"
DEEM,SM,Deem Roll Tech Limited,20,"-"
DELAPLEX,SM,Delaplex Limited,20,"-"
DENEERS,SM,De Neers Tools Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DHANLAXMI,SM,Dhanlaxmi Crop Science Limited,20,"-"
DKEGL,SM,D.K. Enterprises Global Limited,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DTL,SM,Diensten Tech Limited,20,"-"
DUCOL,SM,Ducol Organics And Colours Limited,20,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,20,"-"
DURLAX,SM,Durlax Top Surface Limited,20,"-"
ELGNZ,SM,Eleganz Interiors Limited,20,"-"
EMAPARTNER,SM,EMA Partners India Limited,20,"-"
ENVIRO,SM,Envirotech Systems Limited,20,"-"
ESPRIT,SM,Esprit Stones Limited,20,"-"
ETML,SM,Emerald Tyre Manufacturers Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
EXCELLENT,SM,Excellent Wires and Packaging Limited,20,"-"
FALCONTECH,SM,Falcon Technoprojects India Limited,20,"-"
FONEBOX,SM,Fonebox Retail Limited,20,"-"
FORGEAUTO,SM,Forge Auto International Limited,20,"-"
GAJANAND,SM,Gajanand International Limited,20,"-"
GANGABATH,SM,Ganga Bath Fittings Limited,20,"-"
GICL,SM,Globe International Carriers Limited,20,"-"
GLOBALPET,SM,Global Pet Industries Limited,20,"-"
GOYALSALT,SM,Goyal Salt Limited,20,"-"
GPECO,SM,GP Eco Solutions India Limited,20,"-"
GREENCHEF,SM,Greenchef Appliances Limited,20,"-"
HIGREEN,SM,Hi-Green Carbon Limited,20,"-"
IDEALTECHO,SM,Ideal Technoplast Industries Limited,20,"-"
IDENTICAL,SM,Identical Brains Studios Limited,20,"-"
INDIFRA,SM,Indifra Limited,20,"-"
INSPIRE,SM,Inspire Films Limited,20,"-"
INTEGRITY,SM,Integrity Infrabuild Developers Limited,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
ITALIANE,SM,Italian Edibles Limited,20,"-"
IWARE,SM,Iware Supplychain Services Limited,20,"-"
JAYBEE,SM,Jay Bee Laminations Limited,20,"-"
JEYYAM,SM,Jeyyam Global Foods Limited,20,"-"
JSLL,SM,Jeena Sikho Lifecare Limited,20,"-"
KALANA,SM,Kalana Ispat Limited,20,"-"
KATARIA,SM,Kataria Industries Limited,20,"-"
KEL,SM,Kundan Edifice Limited,20,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,20,"-"
KKJEWELS,SM,Kabra Jewels Limited,20,"-"
KLL,SM,Kaushalya Logistics Limited,20,"-"
KNAGRI,SM,Kn Agri Resources Limited,20,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,20,"-"
KRISHNADEF,SM,Krishna Defence And Allied Industries Limited,20,"-"
LAKSHYA,SM,Lakshya Powertech Limited,20,"-"
MACOBSTECH,SM,Macobs Technologies Limited,20,"-"
MADHUSUDAN,SM,Madhusudan Masala Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MARCO,SM,Marco Cables & Conductors Limited,20,"-"
MAXPOSURE,SM,Maxposure Limited,20,"-"
MDL,SM,Marvel Decor Limited,20,"-"
MEGATHERM,SM,Megatherm Induction Limited,20,"-"
MICROPRO,SM,Micropro Software Solutions Limited,20,"-"
MOS,SM,Mos Utility Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
MYMUDRA,SM,My Mudra Fincorp Limited,20,"-"
NAMOEWASTE,SM,Namo eWaste Management Limited,20,"-"
NEPHROCARE,SM,Nephro Care India Limited,20,"-"
NEPTUNE,SM,Neptune Petrochemicals Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
NIKITA,SM,Nikita Papers Limited,20,"-"
NRVANDANA,SM,N R Vandana Tex Industries Limited,20,"-"
OSELDEVICE,SM,Osel Devices Limited,20,"-"
PARAGON,SM,Paragon Fine and Speciality Chemical Limited,20,"-"
PARAMATRIX,SM,Paramatrix Technologies Limited,20,"-"
PARTYCRUS,SM,Party Cruisers Limited,20,"-"
PCCL,SM,Petro Carbon and Chemicals Limited,20,"-"
PELATRO,SM,Pelatro Limited,20,"-"
PENTAGON,SM,Pentagon Rubber Limited,20,"-"
PHANTOMFX,SM,Phantom Digital Effects Limited,20,"-"
PLADAINFO,SM,Plada Infotech Services Limited,20,"-"
PPSL,SM,Picturepost Studios Limited,20,"-"
PREMIUM,SM,Premium Plast Limited,20,"-"
PRESSTONIC,SM,Presstonic Engineering Limited,20,"-"
PRLIND,SM,Premier Roadlines Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
PSFL,SM,Paramount Speciality Forgings Limited,20,"-"
PSRAJ,SM,P S Raj Steels Limited,20,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,20,"-"
QUESTLAB,SM,Quest Laboratories Limited,20,"-"
RADIOWALLA,SM,Radiowalla Network Limited,20,"-"
RAJINDLTD,SM,Rajputana Industries Limited,20,"-"
RAJPUTANA,SM,Rajputana Biodiesel Limited,20,"-"
RAPIDFLEET,SM,Rapid Fleet Management Services Limited,20,"-"
RAPPID,SM,Rappid Valves (India) Limited,20,"-"
RBS,SM,Ramdevbaba Solvent Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
REXPRO,SM,Rexpro Enterprises Limited,20,"-"
RMDRIP,SM,R M Drip and Sprinklers Systems Limited,20,"-"
SAAKSHI,SM,Saakshi Medtech and Panels Limited,20,"-"
SAJHOTELS,SM,Saj Hotels Limited,20,"-"
SAROJA,SM,Saroja Pharma Industries India Limited,20,"-"
SARTELE,SM,Sar Televenture Limited,20,"-"
SCML,SM,Sharp Chucks and Machines Limited,20,"-"
SERVICE,SM,Service Care Limited,20,"-"
SFML,SM,Supreme Facility Management Limited,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRIAHIMSA,SM,Shri Ahimsa Naturals Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SJLOGISTIC,SM,S J Logistics (India) Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SONAMAC,SM,Sona Machinery Limited,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SSEGL,SM,Sathlokhar Synergys E&C Global Limited,20,"-"
SSFL,SM,Srivari Spices And Foods Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SWASTIK,SM,Swastik Pipe Limited,20,"-"
SYLVANPLY,SM,Sylvan Plyboard (India) Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TCL,SM,Thaai Casting Limited,20,"-"
TEJASCARGO,SM,Tejas Cargo India Limited,20,"-"
TRIDHYA,SM,Tridhya Tech Limited,20,"-"
TUNWAL,SM,Tunwal E-Motors Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UHTL,SM,United Heat Transfer Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNIHEALTH,SM,Unihealth Hospitals Limited,20,"-"
UNILEX,SM,Unilex Colours and Chemicals Limited,20,"-"
USASEEDS,SM,Upsurge Seeds Of Agriculture Limited,20,"-"
VGINFOTECH,SM,Virtual Galaxy Infotech Limited,20,"-"
VIESL,SM,Vision Infra Equipment Solutions Limited,20,"-"
VINSYS,SM,Vinsys It Services India Limited,20,"-"
VINYAS,SM,Vinyas Innovative Technologies Limited,20,"-"
VISAMAN,SM,Visaman Global Sales Limited,20,"-"
VISHNUINFR,SM,Vishnusurya Projects and Infra Limited,20,"-"
VISHWAS,SM,Vishwas Agri Seeds Limited,20,"-"
VLINFRA,SM,V.L.Infraprojects Limited,20,"-"
VOLERCAR,SM,Voler Car Limited,20,"-"
VR,SM,V R Infraspace Limited,20,"-"
WINNY,SM,Winny Immigration & Education Services Limited,20,"-"
WOL3D,SM,Wol 3D India Limited,20,"-"
WTICAB,SM,Wise Travel India Limited,20,"-"
YASHOPTICS,SM,Yash Optics & Lens Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZEAL,SM,Zeal Global Services Limited,20,"-"
